start_osm_way_id,end_osm_way_id,t_type
130889762,6061864,8
6055914,237100956,3
237100956,131052534,0
237100956,203022895,4
232824024,232824024,0
232824024,6060906,3
6716410,6057092,3
6716410,6716410,0
232824024,232824024,0
232824024,6062590,3
6060906,131052539,0
6060906,6057092,3
6060906,27874570,7
232824024,6057457,3
6062590,6062590,0
6062590,27874570,7
6057457,6057457,0
203023776,346876677,0
203023775,24217354,8
203023775,24217341,4
203023775,35600666,0
24217354,346876727,7
24217354,6061538,0
45976795,346876677,0
24217341,346876683,0
35600666,35600666,0
130927085,135146241,7
6055973,6057996,7
6057996,135146241,7
130927012,130927012,0
130927012,321211878,7
334625931,130927032,0
296384738,297268567,3
296384738,297268565,7
296756720,345632497,7
296756720,6056034,0
296756722,296756722,0
296756722,228392613,7
296756718,6062809,7
24237985,24237985,0
24237985,6055095,3
297254936,297254936,0
297254936,297254928,3
6061924,347004690,7
297254936,334551148,0
297254936,334551149,7
297254928,297254928,0
130927017,296794684,0
130889761,130889761,0
130889761,6054895,3
50797097,130889757,7
130908289,130908290,0
130908289,130285140,8
6056057,130889761,3
6056057,50797097,0
6058495,50799230,7
6056057,6056057,0
6056057,6058495,7
6056057,6056057,0
50524889,50799230,7
50524889,50524889,0
6056057,6056057,0
6056057,50524889,7
274292550,119971773,3
274292550,50511181,0
297380211,297380211,0
297380211,345265338,3
274292550,274292550,0
274292550,345265336,3
120478695,120478695,0
120478695,345265333,3
50260020,297382770,0
70948801,70948801,0
70948801,74100353,3
50260020,50260020,0
50260020,70948801,7
130927087,130927087,0
130927087,74100353,3
50260019,50260019,0
50260019,74100353,4
126303354,6061944,8
6060903,345633934,7
6060903,6060903,0
126303354,126303354,0
126303354,126303366,7
130889757,345633934,7
130889757,130889757,0
6056078,6056078,0
6056078,50795344,7
367694949,367694949,0
367694949,361074867,3
6056078,29961219,3
6056078,6056078,0
50795344,50795344,0
6056078,6056078,0
6056078,29961210,7
6058679,274369001,3
6058679,6058679,0
6056078,131240446,3
6056078,6056078,0
29961210,6057639,3
29961210,29961210,0
6056078,131240384,0
6056078,6057902,7
6061169,6061169,0
6061169,210672696,3
131240384,234706403,4
6057902,6057902,0
6057902,210672694,2
131240397,131240384,0
131240397,6057902,3
234706403,234706403,0
131240439,131240439,0
131240439,234706402,7
131240390,130927079,3
131240390,131240390,0
131240390,131240390,0
131240390,6057996,7
130927085,234706405,2
130927085,130927085,0
131240390,29964834,3
6057996,6062038,3
6057996,6057996,0
6061869,6061869,0
6061869,29961157,3
47916242,47916238,1
47916238,346876690,0
296377248,6061292,7
24238023,130908274,0
24238023,6057381,3
6061292,6057381,3
6062809,131052472,3
6062809,131052522,0
6056239,6056239,0
6056239,125568114,7
6056239,6056239,0
125568114,130908179,7
125568114,125568114,0
6056239,6056239,0
6056239,6056239,0
6056239,343234334,7
6056239,6056239,0
343234334,343234334,0
343234334,130908179,7
6056239,6056239,0
6056239,6061128,7
6056239,125568108,7
6056239,6056239,0
6061128,130908179,7
6061128,6061128,0
50502435,50502440,1
6056290,50502432,1
50502432,220099326,1
6056363,130889760,7
6056363,203119341,0
130889756,50797098,3
130889756,130889756,0
130889760,131463018,0
130889760,6056366,7
203119341,50428539,0
203119341,130908289,3
50428539,50428539,0
130772943,130772943,0
50428547,130285156,0
50428547,50431288,4
130285119,130285119,0
130889756,6056363,7
130889756,130889756,0
131463018,6058077,0
131463018,50431292,4
6056366,130285119,0
6056366,130889756,7
333922766,333922766,0
